Product name,Part Number,Original Price,Discount Price,% Discount,PromoCode,Link
"DEEPCOOL CG380 MATX Mini Tower Case Black with 3 X ARGB PWM Fans Front I/O: 1x Type C, 2x USB, HD Audio",CHADPC1050,113.85,90.85,20.2,NEW ARRIVAL,https://www.pbtech.co.nz/product/CHADPC1050/DEEPCOOL-CG380-MATX-Mini-Tower-Case-Black-with-3-X
"Gigabyte C201 PANORAMIC Black mATX Gaming Case Tempered Glass, CPU Cooler Support 3x 120mm ARGB Fan Pre-installed, CPU Cooler Support Upto 190mm, GPU Support Upto 410mm, 5x PCI Slot, 360mm Radiator Supported, Front I/O: 2x USB, HD Audio",CHAGBC0025,113.85,90.85,20.2,DROP,https://www.pbtech.co.nz/product/CHAGBC0025/Gigabyte-C201-PANORAMIC-Black-mATX-Gaming-Case-Tem
"NZXT H5 White Flow 2024 Edition ATX MidTower Gaming Case Tempered Glass, CPU Cooler Support Upto 170mm, GPU Support Upto 410mm, 7x PCI Slot, 360mm Radiator Supported, Front I/O: 1x Type C, 1x USB, HD Audio",CHANZX0531,171.35,90.85,46.98,DROP,https://www.pbtech.co.nz/product/CHANZX0531/NZXT-H5-White-Flow-2024-Edition-ATX-MidTower-Gamin
Gigabyte NVIDIA GeForce RTX 5060 Ti WINDFORCE OC 8GB GDDR7 Graphics Card,VGAGBV550621,803.85,746.35,7.15,DROP,https://www.pbtech.co.nz/product/VGAGBV550621/Gigabyte-NVIDIA-GeForce-RTX-5060-Ti-WINDFORCE-OC-8
Gigabyte NVIDIA GeForce RTX 5060 GAMING OC 8GB GDDR7 Graphics Card,VGAGBV550605,689.0,631.35,8.37,DROP,https://www.pbtech.co.nz/product/VGAGBV550605/Gigabyte-NVIDIA-GeForce-RTX-5060-GAMING-OC-8GB-GDD
PNY NVIDIA GeForce RTX 5070 Ti ARGB EPIC-X OC 16GB GDDR7 Graphics Card,VGAPNY150713,1838.85,1649.0,10.32,DROP,https://www.pbtech.co.nz/product/VGAPNY150713/PNY-NVIDIA-GeForce-RTX-5070-Ti-ARGB-EPIC-X-OC-16GB
AMD  W6600 8GB GDDR6 Workstation Graphics Card,VGAAMD16600,1493.85,1419.16,5.0,CLEARANCE,https://www.pbtech.co.nz/product/VGAAMD16600/AMD-W6600-8GB-GDDR6-Workstation-Graphics-Card-Sing
"Jonsbo NF-1 ARGB Black Active Memory Cooling, Dual ARGB Fans",FANJSB5000,29.0,16.5,43.1,CLEARANCE,https://www.pbtech.co.nz/product/FANJSB5000/Jonsbo-NF-1-ARGB-Black-Active-Memory-Cooling-Dual
"ASRock Z890 Steel Legend WiFi ATX Motherboard For Intel 15th GEN PCIE 5.0, 4x DDR5, 4x M.2, 2x Internal USB2.0 Header, 2x Internal USB3.2 Header, 1x Internal Type C Header",MBDASR22852,589.03,516.35,12.34,DROP,https://www.pbtech.co.nz/product/MBDASR22852/ASRock-Z890-Steel-Legend-WiFi-ATX-Motherboard-For
Zotac NVIDIA GeForce RTX 5060 AMP EXTREME 8GB GDDR7 Graphics Card,VGAZTC150602,649.0,631.35,2.72,DROP,https://www.pbtech.co.nz/product/VGAZTC150602/Zotac-NVIDIA-GeForce-RTX-5060-AMP-EXTREME-8GB-GDDR
Xiaomi  Smart Band 10  Fitness Tracker - Midnight Black,WTHMIX63275,89.0,79.0,11.24,DROP,https://www.pbtech.co.nz/product/WTHMIX63275/Xiaomi-Smart-Band-10-Fitness-Tracker---Midnight-Bl
"Xiaomi  G34WQi 34"" WQHD 180Hz UltraWide Curved Gaming Monitor",MONMIX34142,599.0,499.0,16.69,DROP,https://www.pbtech.co.nz/product/MONMIX34142/Xiaomi-G34WQi-34-WQHD-180Hz-UltraWide-Curved-Gamin
Google    USB-C - USB-C Cable - 1.8m,CABGOG11001,6.5,5.03,22.62,CLEARANCE,https://www.pbtech.co.nz/product/CABGOG11001/Google-USB-C---USB-C-Cable---18m-Charge-and-Sync
